,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,195429.0,0,1/12/2022 17:43,0,3258.7474925390734,82.50910728940487,500000,500000.0,0,,,,0.09,0.05,-0.0002174834987715783
1,195429.0,0,2022-01-21 08:13:00,18015.10310012578,2883.339111904772,78.13784217144055,465366.7283840613,469025.38964490267,221.44044379428647,29333.600795839127,494700.32917990047,-5299.6708200995345,0.09,0.05,-0.0002174834987715783
2,196653.0,0,2022-01-22 05:33:00,21986.05388109647,2627.554803190044,81.16794631297738,451279.8500500582,447920.8546742129,423.23665267928186,20761.487037459076,501374.9378833564,1374.9378833564115,0.09,0.05,-0.0002174834987715783
3,197582.0,0,2022-01-22 07:10:00,12964.340995835724,2348.693675239049,91.1945535168495,420745.75938779046,424912.2719492598,603.6163269376408,25430.616056696035,496271.4632777847,-3728.5367222153,0.09,0.05,-0.0002174834987715783
4,198704.0,1,2022-01-22 07:19:00,1400.366186135383,2568.840965556597,91.99776215350364,427684.5146122178,443076.42834554217,800.9033130923874,-20253.058053372108,482957.1604488399,-17042.839551160112,0.09,0.05,-0.0002174834987715783
5,197808.0,0,2022-01-22 18:03:00,14543.99572081323,2327.884082035109,86.14543937579745,406590.7777974562,423195.29099094705,979.6848105926838,20757.336601581446,482620.7602356598,-17379.239764340222,0.09,0.05,-0.0002174834987715783
6,198793.0,0,2022-01-24 22:11:00,27072.521951207527,2119.8904554201895,89.66750172071868,401428.52091664204,406033.92253706424,1142.4923975689544,18650.268872391796,496108.7722272374,-3891.2277727625915,0.09,0.05,-0.0002174834987715783
7,199729.0,1,2022-01-25 01:46:00,2278.239883499178,2320.6791749957006,98.16405878590862,409105.8557434952,422600.82054302236,1320.7205582086242,-19710.23567195779,484075.8713821328,-15924.128617867187,0.09,0.05,-0.0002174834987715783
8,198824.0,1,2022-01-26 19:51:00,8243.962813699314,2537.69305173852,90.53249405617237,422731.92265687796,440506.4417824853,1515.6153845821425,-19646.80750632621,478055.13078918937,-21944.869210810633,0.09,0.05,-0.0002174834987715783
9,197930.0,0.5,2022-01-27 00:16:00,2091.0157181970435,2611.0540648523065,86.51548838732872,429240.12501536484,446559.3934843502,1716.1443367627996,-6346.863878128475,478216.4692695477,-21783.530730452272,0.09,0.05,-0.0002174834987715783
