,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,199904.0,0,5/13/2022 11:11,0,2083.1169179887033,123.26513404624876,500000,500000.0000000001,0,,,,0.08,0.05,0.0003802009371618903
1,199904.0,0,2022-05-19 07:27:00,30458.7251055473,1922.9669697696827,123.26513404624876,497508.6214064975,480259.0951652827,147.6838632783116,19740.904834717378,517249.5262412149,17249.526241214888,0.08,0.05,0.0003802009371618903
2,200704.0,0,2022-05-26 21:13:00,18772.258207072766,1777.2606705738733,137.8746111809299,483619.9941804668,462298.58866352844,284.17748277838507,20089.199348234455,523450.09836341866,23450.098363418656,0.08,0.05,0.0003802009371618903
3,201492.0,0.5,2022-05-27 12:06:00,9687.3188529018,1763.2763213879894,139.4185144062373,491063.75436534686,460574.8059865809,419.59710426098263,1949.6771884340153,532843.5357367327,32843.53573673265,0.08,0.05,0.0003802009371618903
