,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,197363.0,0,5/7/2022 11:05,0,2685.730038509472,97.49167632140035,500000,500000.0,0,,,,0.06,0.05,-0.009778376547964386
1,197363.0,0,2022-05-08 10:54:00,2361.6256581463813,2534.3963589177483,97.49167632140035,479187.58025368646,485246.22589271725,194.64164036488305,14753.774107282814,493941.3543609693,-6058.6456390307285,0.06,0.05,-0.009778376547964386
2,197943.0,0,2022-05-09 18:47:00,5481.486295339528,2383.71108043991,100.57657930099052,461086.7927822429,470555.66549695574,377.71065134266814,15155.409860318157,490995.97674984386,-9004.02325015614,0.06,0.05,-0.009778376547964386
3,198556.0,0,2022-05-10 03:36:00,7147.160023957245,2247.8214114546854,99.9015506288844,446710.21444016433,457307.553872826,550.343335742388,13575.588646069746,490194.98705383507,-9805.012946164934,0.06,0.05,-0.009778376547964386
4,199143.0,1,2022-05-10 13:45:00,9828.43846954092,2388.2442099494333,105.71337122951044,462894.7943691849,470997.6078918212,733.7604910665045,-14844.567426362024,491534.9995564936,-8465.000443506404,0.06,0.05,-0.009778376547964386
5,198537.0,0,2022-05-11 20:46:00,15134.59669150802,2247.8214114546854,101.97674461682494,455685.95710985427,457307.553872826,906.3931754662244,14319.859860478777,498646.0221576417,-1353.9778423582902,0.06,0.05,-0.009778376547964386
6,199143.0,0,2022-05-12 03:42:00,14611.813754039531,2109.3179849588264,107.83746865605046,446888.47430636873,443804.62264748686,1068.3887967110622,14935.858913502785,504784.398267659,4784.398267659009,0.06,0.05,-0.009778376547964386
7,199779.0,0,2022-05-12 05:00:00,2408.397246061372,1972.6306654880084,107.77764612468677,425394.3169916555,430478.746740398,1219.8868318205414,14731.837547657831,498022.07850060356,-1977.9214993964415,0.06,0.05,-0.009778376547964386
8,200449.0,1,2022-05-12 06:10:00,3722.955315280297,2109.7398696489977,111.7901669254174,434865.54071093944,443845.75289314595,1381.9148538095844,-15327.460820168126,492165.8413997194,-7834.158600280585,0.06,0.05,-0.009778376547964386
9,199777.0,0,2022-05-12 11:30:00,9469.686713514348,1991.8573201564486,104.45802574824712,425041.21097388864,432353.1855340769,1534.8894959975996,12313.778390161706,494655.2900528303,-5344.7099471697,0.06,0.05,-0.009778376547964386
10,200352.0,0,2022-05-12 12:23:00,3780.9534082891787,1870.0603161262895,109.33020133383081,407295.38619947445,420478.99144025234,1678.5101282760986,13316.090972474696,490225.55625089083,-9774.443749109167,0.06,0.05,-0.009778376547964386
11,200983.0,0,2022-05-12 14:06:00,12554.164428018066,1734.248979263648,111.63963657836197,394769.0171707398,407238.516546063,1811.7004498835468,15161.928290566804,492861.115512723,-7138.884487277013,0.06,0.05,-0.009778376547964386
12,201737.0,1,2022-05-12 14:33:00,2131.5891761724743,1844.9853921261054,117.79840566218775,401898.9047555708,418034.39506584266,1953.3953279988316,-13044.572883947265,486946.4302136067,-13053.569786393316,0.06,0.05,-0.009778376547964386
13,201118.0,0,2022-05-12 14:58:00,972.1396844280885,1659.6000748227066,114.82059926396956,366530.49042158044,399960.86971655965,2080.8526137452154,21286.053227517394,472864.0691071337,-27135.93089286628,0.06,0.05,-0.009778376547964386
14,202177.0,1,2022-05-12 15:28:00,6243.302326550566,1770.3431976661434,111.92378559691252,377501.7874967229,410757.40240363305,2216.8149713259754,-12394.789537461369,471440.5766448148,-28559.423355185194,0.06,0.05,-0.009778376547964386
15,201531.0,1,2022-05-12 15:50:00,2012.4915699463718,1899.2705853411874,110.95277268945182,384653.0642783892,423326.7495518121,2362.6789522801787,-14304.851138153987,464287.00228832714,-35712.997711672855,0.06,0.05,-0.009778376547964386
16,200828.0,1,2022-05-12 23:10:00,12372.258177909787,2018.5246337287126,102.93092349575204,401698.77183967165,434953.02663722535,2517.701644150544,-12274.929331135072,469057.7805184745,-30942.219481525477,0.06,0.05,-0.009778376547964386
17,200219.0,0,2022-05-13 05:28:00,4059.7562796710977,1899.8404234968066,105.08948118950715,386336.69358650927,423382.3040288354,2663.6093886750987,12472.462078657401,466168.16434396955,-33831.83565603045,0.06,0.05,-0.009778376547964386
18,200825.0,1,2022-05-13 09:05:00,2621.5932460559306,2019.5340979182267,108.56568928526761,394500.69421249506,435051.44099324755,2818.7096073952184,-12994.626266647883,461337.53870330745,-38662.46129669255,0.06,0.05,-0.009778376547964386
19,200214.0,0.5,2022-05-13 11:10:00,1233.4836611251242,2081.8674851758346,102.20928327375552,400107.57752575475,441128.42740778276,2978.5970302567225,-6371.05083562555,460573.3711809416,-39426.62881905842,0.06,0.05,-0.009778376547964386
