,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,192612.0,0,11/20/2021 10:07,0,4319.021330603686,59.7080024015249,500000,500000.0,0,,,,0.13,0.13,-0.006684059523095209
1,192612.0,0,2021-12-04 13:30:00,20996.95033750485,3724.8859438276127,55.84723444337178,467729.5154892611,464525.3628995433,286.07124048596063,33180.81823638672,500910.33372564777,910.333725647768,0.13,0.13,-0.006684059523095209
2,194092.0,1,2021-12-05 15:40:00,5107.662687108897,4223.355493262649,59.65534261669661,486867.0109367748,494287.9839542975,610.4249423685321,-29736.3717555375,490311.457417624,-9688.542582375987,0.13,0.13,-0.006684059523095209
3,192836.0,0.5,2021-12-06 05:36:00,1013.0500341709918,4125.681105316121,54.93617180003801,481681.65403683827,488456.0413642187,927.2772512568101,5365.856956694049,490491.95747438155,-9508.042525618454,0.13,0.13,-0.006684059523095209
