,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,204115.0,0,6/13/2022 11:49,0,1367.2293829424373,191.70133129025797,500000,500000.0,0,,,,0.15,0.05,-0.012881120374344336
1,204115.0,0,2022-06-13 11:56:00,900.8400100050026,927.3777979817831,191.70133129025797,343935.27875708847,415679.86559291254,71.22261488500094,84320.1344070874,428255.4131641759,-71744.58683582413,0.15,0.05,-0.012881120374344336
2,207997.0,1,2022-06-13 11:57:00,676.3329208627059,1156.6116141911941,187.94715652498562,349086.89654296776,459624.293337003,160.05038685488464,-43083.84393592995,390323.18701412523,-109676.81298587477,0.15,0.05,-0.012881120374344336
3,205788.0,1,2022-06-13 12:02:00,294.96661604935906,1341.6326781859636,156.1679758321235,354110.6013477394,495093.0776215403,263.0877765395666,-28894.36505036894,366452.5267685279,-133547.47323147207,0.15,0.05,-0.012881120374344336
4,204304.0,0,2022-06-13 16:10:00,6848.682142996498,1091.7671185361792,140.6568266645256,298167.5656127853,447193.5171930912,346.9354912431452,35145.296713094416,345654.7877466682,-154345.2122533318,0.15,0.05,-0.012881120374344336
5,206365.0,1,2022-06-13 16:11:00,0.0,1262.1168407750167,143.58008151189065,302078.91552170453,479849.7857312021,443.86606461466647,-24458.827004580227,325107.3106510072,-174892.68934899278,0.15,0.05,-0.012881120374344336
6,204915.0,0,2022-06-14 09:56:00,17594.098145216056,1072.828338517002,123.3666169313997,277212.3036671728,443562.92785040167,526.2592810127722,23351.88214758288,323592.58094405837,-176407.41905594163,0.15,0.05,-0.012881120374344336
7,206540.0,1,2022-06-14 15:02:00,9833.124040363746,1235.642902649792,134.515932285134,290603.63382324064,474774.69654810056,621.1566559362763,-21901.15288391997,315082.7582162063,-184917.24178379372,0.15,0.05,-0.012881120374344336
8,205127.0,0,2022-06-15 16:17:00,8302.353438141536,1052.7432887236023,121.46210703872103,258797.66801643372,439712.5970659758,702.0073405102489,22215.3724840436,305492.16489344294,-194507.83510655706,0.15,0.05,-0.012881120374344336
9,206729.0,1,2022-06-16 02:45:00,9813.614168018548,1213.7227612007944,122.67789615704623,271846.9066878928,470572.57625025697,795.2212485704699,-19748.623007973052,298792.78055692895,-201207.21944307105,0.15,0.05,-0.012881120374344336
10,205306.0,0,2022-06-17 07:57:00,11102.297178375842,1001.2026454756482,115.45769760371073,237989.48134057116,429832.1871397868,872.1136117429996,24537.083256099537,289472.4384657069,-210527.5615342931,0.15,0.05,-0.012881120374344336
11,207231.0,0.5,2022-06-17 19:19:00,1069.1358881654103,1101.3064514406228,123.68367699259959,242305.65269506472,449022.22001049406,956.6939472136395,-12381.206802701787,281407.4030174986,-218592.5969825014,0.15,0.05,-0.012881120374344336
