,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,193042.0,0,12/6/2021 5:43,0,4137.248621009766,63.16315463349494,500000,500000.0,0,,,,0.13,0.05,0.0015953975310085608
1,193042.0,0,2021-12-30 08:12:00,41156.88245723001,3602.1752789916527,63.16315463349494,481028.38557634805,466203.079757849,276.6470614265589,33796.920242151005,514825.30581849907,14825.305818499066,0.13,0.05,0.0015953975310085608
2,194427.0,0,2022-01-07 12:25:00,18977.0578481674,3108.204665888576,70.48017165967669,438292.5099555839,435002.3375380171,515.3571797668014,34815.133606340576,506904.5638040755,6904.563804075471,0.13,0.05,0.0015953975310085608
3,195902.0,0.5,2022-01-12 17:34:00,29595.419101810265,3260.377192192681,74.87368066636263,473938.9433127867,444614.03434793284,765.7541481271993,-11393.717140687215,531157.2800205911,31157.280020591104,0.13,0.05,0.0015953975310085608
