,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,196441.0,0,3/23/2022 16:19,0,2945.1153266015203,89.9808108938182,500000,499999.99999999994,0,,,,0.15,0.05,-0.002249835553868569
1,196441.0,1,2022-03-29 02:44:00,5240.892227142216,3401.582525304347,89.9808108938182,512245.4691471063,541073.2886857099,261.2415379433738,-41073.28868571,471172.1804613963,-28827.81953860371,0.15,0.05,-0.002249835553868569
2,195000.0,0,2022-04-18 15:52:00,22114.955449067173,2892.8693707478715,79.66826120028915,462514.31659821403,495298.866526366,483.4139056168103,40528.29247322837,461969.3203857324,-38030.6796142676,0.15,0.05,-0.002249835553868569
3,196620.0,0.5,2022-05-07 10:51:00,32178.60028161297,2685.730038509472,84.58329156484186,466281.00114846835,476660.3014435508,689.6779725743377,17520.526533267206,483256.53146925394,-16743.46853074606,0.15,0.05,-0.002249835553868569
