,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,195530.0,0,8/26/2021 4:18,0,3226.001426130292,78.85325278458366,500000,500000.00000000006,0,,,,0.11,0.11,-0.007178850300722133
1,195530.0,1,2021-09-02 00:31:00,9009.447187507725,3590.308285219262,74.77936975099884,521990.7649856891,528726.7808509003,275.7356763048393,-27242.637318639103,494748.12766705,-5251.872332950006,0.11,0.11,-0.007178850300722133
2,194460.0,1,2021-09-03 22:23:00,5928.969833261026,4019.399154919496,70.78368251878456,541710.9135615182,562561.9916669297,584.4255314026566,-30372.63189257053,484095.6443503086,-15904.355649691424,0.11,0.11,-0.007178850300722133
3,193331.0,0,2021-09-07 22:47:00,5136.648632531211,3590.308285219262,66.26528135915821,503025.0171061694,528726.7808509003,860.1612077074958,28433.82720933191,473843.5751042917,-26156.424895708275,0.11,0.11,-0.007178850300722133
4,194460.0,0,2021-09-11 05:43:00,21670.194136504848,3199.01785296954,68.21186407546011,483116.90908914374,497872.2574845239,1105.8457788155565,26690.64977864607,480626.1168659121,-19373.883134087897,0.11,0.11,-0.007178850300722133
5,195614.0,1,2021-09-16 06:23:00,12926.855974724773,3570.9738371754265,74.45167466843249,509159.75067240617,527202.1967318493,1380.0965695106293,-27692.74592707328,478976.21252210124,-21023.78747789876,0.11,0.11,-0.007178850300722133
6,194514.0,0,2021-09-20 11:02:00,7424.955497040466,3172.894464984132,69.0427880689987,473341.58382086875,495812.34336812084,1623.7748644214105,27484.50972884361,470642.5553994074,-29357.4446005926,0.11,0.11,-0.007178850300722133
7,195696.0,0,2021-09-21 08:22:00,6606.542858285449,2817.5006322293398,71.06220708995187,439902.6115922021,467788.3836358251,1840.1589129766237,25255.070141712757,462458.65331245353,-37541.346687546466,0.11,0.11,-0.007178850300722133
8,196884.0,1,2021-09-23 11:13:00,13440.140105127239,3177.657139664896,75.53345185381374,464502.14979843865,496187.8957586539,2084.2029813028876,-27203.8642142213,459854.3273044688,-40145.67269553122,0.11,0.11,-0.007178850300722133
9,195681.0,0,2021-09-24 18:49:00,3584.6568049960547,2832.4722768242195,72.51245657328528,429417.3501534627,468968.9465116662,2301.736852162988,25030.20237648999,449799.73003598285,-50200.26996401715,0.11,0.11,-0.007178850300722133
10,196831.0,0.5,2021-09-26 07:48:00,5490.794842936977,2936.000060806177,73.82155095383453,440985.4086409507,477132.4490322232,2527.221656832902,-7642.581580361637,453725.20694310917,-46274.793056890834,0.11,0.11,-0.007178850300722133
