,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,195747.0,0,2/16/2022 9:22,0,3156.754701565327,83.59691638222739,500000,500000.0,0,,,,0.12,0.05,-0.00014954965260500434
1,195747.0,0,2022-02-19 00:04:00,4657.946321377753,2787.2368570991225,83.59691638222739,450691.1922267489,469109.4476544178,214.0597906252126,30890.55234558222,481581.74457233114,-18418.25542766886,0.12,0.05,-0.00014954965260500434
2,196992.0,0,2022-02-24 11:24:00,9587.640689767428,2453.3565586385184,82.84618764812076,410682.49727532273,441198.0842623335,402.4775743286508,27660.709858277773,469233.7594791827,-30766.240520817286,0.12,0.05,-0.00014954965260500434
3,198268.0,1,2022-02-26 06:47:00,10263.868183639039,2762.2655135255986,83.37402522375302,425995.97553816566,467021.92033375,614.6195657674168,-25754.98299659861,458792.25474542705,-41207.74525457295,0.12,0.05,-0.00014954965260500434
4,197082.0,0.5,2022-03-23 16:18:00,36143.69075423008,2945.1153266015203,78.90121864882535,467676.4667266984,482307.60086796375,840.8044228504135,-14427.073081400142,486045.6728525596,-13954.327147440403,0.12,0.05,-0.00014954965260500434
