,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,206278.0,0,6/17/2022 19:19,0,1101.3064514406228,239.30828777944504,500000,500000.0,0,,,,0.14,0.05,0.00032528290528384684
1,206278.0,0,2022-06-19 02:25:00,7343.880409927233,945.5436581182133,239.30828777944504,441505.61411475984,462724.6726302706,72.61775294347878,37275.32736972939,478780.94148448925,-21219.058515510755,0.14,0.05,0.00032528290528384684
2,207803.0,1,2022-06-20 02:58:00,19176.001673487903,1084.0434097840086,244.5200829311044,466486.5920028319,495868.8110592904,155.87228681489063,-33865.97076325764,469895.9486093037,-30104.051390696317,0.14,0.05,0.00032528290528384684
3,206436.0,1,2022-06-26 05:39:00,38960.414774433855,1244.1978917078056,217.65964475214426,511517.924102183,534195.1059086784,251.4266848980501,-34859.167640997366,480068.1130676574,-19931.886932342604,0.14,0.05,0.00032528290528384684
4,205058.0,0,2022-06-30 14:29:00,10451.103666048894,1074.2238524700838,208.7448866285817,457531.845132411,493518.90961174294,333.9270767677525,35481.211550480344,461563.2456483657,-38436.7543516343,0.14,0.05,0.00032528290528384684
5,206527.0,1,2022-07-08 00:42:00,30022.260843815024,1229.6033633535194,228.2141303962646,494256.7958312441,530702.5143172656,428.3606150733028,-35459.799957660194,462828.39638953866,-37171.603610461345,0.14,0.05,0.00032528290528384684
6,205176.0,0.5,2022-07-11 14:04:00,10312.699266673153,1147.166648475264,203.31669011953454,477160.0687076691,510974.725229588,516.4630136762031,16760.76001337466,462492.4292793383,-37507.57072066172,0.14,0.05,0.00032528290528384684
