,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,195747.0,0,2/16/2022 9:22,0,3156.754701565327,81.88358703149655,500000,500000.0,0,,,,0.08,0.08,-0.006783916348773572
1,195747.0,0,2022-02-18 02:26:00,3575.3096158894964,2906.4971756678024,78.90784045284998,473297.47154820286,479508.016097883,223.2189830912872,19747.28092564686,493044.7524738497,-6955.247526150313,0.08,0.08,-0.006783916348773572
2,196573.0,0,2022-02-20 13:51:00,5102.165827953795,2674.741636379047,79.74612348338515,449837.40845291474,460531.04122650076,428.639140765198,18481.605854079593,488066.29523264116,-11933.704767358839,0.08,0.08,-0.006783916348773572
3,197404.0,0,2022-02-24 11:08:00,13062.594048133662,2472.3193691484626,84.51275682617535,436849.95779487933,443955.97989061236,618.5132683157999,17107.263846661477,492186.10842126724,-7813.891578732757,0.08,0.08,-0.006783916348773572
4,198191.0,1,2022-02-25 04:06:00,8018.399719934123,2679.024434185559,86.31749746749149,453271.44042469765,460881.73207342863,824.2623448612508,-17842.263927857246,490765.32712322834,-9234.672876771656,0.08,0.08,-0.006783916348773572
5,197388.0,1,2022-03-01 06:38:00,16778.144717934956,2910.568917684423,86.43848968337747,479613.8048423742,479841.4249396708,1047.7940377394145,-20014.35544815951,497093.33609274536,-2906.6639072546386,0.08,0.08,-0.006783916348773572
6,196559.0,0.5,2022-03-04 06:01:00,9514.174423611503,2805.1314799843376,82.28817813546958,478141.17053730955,471207.8293333778,1263.2281354022116,8676.254655612103,504296.95644329285,4296.9564432928455,0.08,0.08,-0.006783916348773572
