,Tick,Side,Out_time,Staking_reward,Price,ETH_amount,Uni_val,B&H,reallowcation fee,Hedge_pnl,Total_val,Total_pnl,alpha,beta,sharp ratio
0,192612.0,0,11/20/2021 10:07,0,4319.021330603686,58.63803233680696,500000,500000.00000000006,0,,,,0.09,0.09,-0.019085297664289364
1,192612.0,0,2021-11-26 20:07:00,12305.253497168762,3949.2800933363746,58.63803233680696,479440.7655949113,478319.10137286846,303.30471116823355,21680.898627131603,501121.6642220429,1121.6642220428912,0.09,0.09,-0.019085297664289364
2,193507.0,1,2021-11-29 08:28:00,5565.156878210636,4330.264834118494,61.16133498744924,495878.9504162651,500659.2969226804,635.8690504285339,-23301.535356081717,494258.313687315,-5741.686312685022,0.09,0.09,-0.019085297664289364
3,192586.0,1,2021-11-30 23:16:00,2996.1321317650613,4731.414815253248,56.386561013278715,509570.9867059662,524181.9424883696,999.2417082399834,-22619.46788673041,485330.88209028565,-14669.117909714347,0.09,0.09,-0.019085297664289364
4,191700.0,0,2021-12-04 01:03:00,7254.013061529081,4324.207007704887,53.84974754942231,483354.20773898024,500304.0779015485,1331.3408064317186,21928.037636633006,481042.14075993275,-18957.85924006725,0.09,0.09,-0.019085297664289364
5,192600.0,0,2021-12-04 13:08:00,2870.3731000012212,3950.4649958467276,55.889346518071065,454306.71278736193,478388.5817245865,1634.7365181127473,20888.196809101675,472882.8426174161,-27117.157382583886,0.09,0.09,-0.019085297664289364
6,193504.0,0,2021-12-04 13:32:00,1317.3908898639665,3598.5750841168438,57.75026071212396,424319.20562977635,457754.4497015734,1911.107084572921,20321.734144367078,463217.0696041976,-36782.930395802425,0.09,0.09,-0.019085297664289364
7,194437.0,1,2021-12-04 16:17:00,3111.945118716754,3932.335493148814,57.48351361340183,436401.2446656948,477325.503359136,2213.11045044675,-19185.721016203817,456113.3876239122,-43886.61237608781,0.09,0.09,-0.019085297664289364
8,193550.0,0.5,2021-12-06 05:36:00,4242.850402400616,4125.681105316121,54.88603481844486,448013.5604355663,488662.9096175823,2529.962759335028,-10611.974001408353,457113.72939237533,-42886.27060762467,0.09,0.09,-0.019085297664289364
